store,week,brand,sales_,count,price_,prom_,cost_,Hausman
111,26,10,7,23271,2.78,0.0,0.92,2.696660808435852
111,27,10,7,21044,2.78,0.0,0.92,2.752325249643367
111,28,10,6,22893,1.69,1.0,0.92,1.6990197841726618
111,29,10,3,23136,1.89,0.0,0.92,1.8900697674418603
111,30,10,4,25689,1.89,1.0,0.92,1.8900287356321839
111,31,10,7,20729,2.78,1.0,0.92,2.750497925311204
111,32,10,5,20316,2.78,0.0,0.92,2.755237068965517
111,33,10,3,25287,2.78,0.0,0.92,2.7656367924528302
111,34,10,4,25055,2.78,0.0,0.92,2.7663707571801566
111,35,10,2,22721,2.78,0.0,0.92,2.757577319587629
111,36,10,3,25316,1.99,0.0,0.92,2.005483870967742
111,37,10,1,21749,1.99,0.0,0.92,1.9893939393939393
111,38,10,1,23280,1.99,0.0,0.92,1.9893442622950817
111,39,10,1,21807,1.99,0.0,0.92,1.988918918918919
111,40,10,4,20205,1.99,0.0,0.92,1.987831325301205
111,41,10,1,33887,1.91,0.0,0.91,1.9894044665012405
111,42,10,2,19243,1.99,1.0,0.92,1.988504672897196
111,43,10,3,27773,1.99,1.0,0.92,1.9894059405940592
111,44,10,2,25910,1.99,0.0,0.92,1.9891443850267378
111,45,10,3,26151,1.69,0.0,0.92,1.6910068649885583
111,46,10,2,21970,1.69,0.0,0.92,1.6911027568922306
111,47,10,2,20290,1.69,1.0,0.92,1.6919864559819413
111,48,10,5,28637,1.69,1.0,0.92,1.6908997955010223
111,1,11,1,25161,4.49,0.0,1.92,4.490000000000001
111,2,11,1,28464,4.49,0.0,1.92,4.490000000000001
111,3,11,1,28464,4.49,0.0,1.92,4.490000000000001
111,4,11,1,23627,4.49,0.0,1.92,4.490000000000001
111,5,11,1,23587,4.49,0.0,1.92,4.490000000000001
111,6,11,1,24378,4.49,0.0,1.92,4.490000000000001
111,7,11,1,24174,4.49,0.0,1.92,4.539315068493153
111,8,11,2,25947,5.29,0.0,2.02,5.1182840236686395
111,9,11,6,27673,5.29,1.0,2.1,5.252486231313926
111,10,11,2,25523,5.09,1.0,2.02,5.229638386648123
111,11,11,1,22179,5.29,0.0,2.02,5.238145161290323
111,12,11,1,24038,4.49,0.0,1.92,5.26012658227848
111,13,11,1,25030,5.29,0.0,2.02,5.2588646288209615
111,14,11,1,26358,4.49,0.0,1.92,5.289139072847683
111,15,11,3,24285,5.36,0.0,2.07,5.322705167173252
111,16,11,2,24234,5.49,0.0,2.18,5.367676767676769
111,17,11,1,22435,4.49,0.0,1.92,5.352628571428571
111,18,11,1,21713,5.49,0.0,2.18,5.335487804878048
111,19,11,2,21830,4.59,0.0,2.18,4.757426900584795
111,20,11,1,23446,4.49,0.0,1.92,4.730997150997151
111,21,11,1,28600,4.79,0.0,2.02,4.70783105022831
111,22,11,1,22370,4.59,0.0,2.18,4.708264462809917
111,23,11,2,22555,4.69,0.0,2.1,4.694810426540284
111,24,11,1,22756,4.79,0.0,2.02,4.678009950248756
111,25,11,1,21750,4.59,0.0,2.18,4.628780487804878
111,26,11,1,23271,4.49,0.0,1.92,3.9829911699779252
111,27,11,1,21044,3.99,1.0,2.02,3.943708791208792
111,28,11,1,22893,4.49,0.0,1.92,3.8221943048576215
111,29,11,2,23136,4.69,0.0,2.1,4.228786848072562
111,30,11,1,25689,4.59,1.0,2.18,4.200664206642066
111,31,11,1,20729,4.59,0.0,2.18,4.229414715719064
111,32,11,1,20316,4.49,0.0,1.92,4.181848617176128
111,33,11,1,25287,4.39,0.0,2.02,4.035342465753425
111,34,11,2,25055,4.59,0.0,2.18,4.032220650636492
111,35,11,4,22721,3.19,0.0,1.2,4.007787162162162
111,36,11,1,25316,3.19,0.0,1.2,3.990994550408719
111,37,11,3,21749,3.46,0.67,1.47,3.69773418734988
111,38,11,1,23280,4.49,0.0,1.92,3.9811586901763225
111,39,11,1,21807,3.19,0.0,1.2,3.9742379182156133
111,40,11,4,20205,4.14,0.0,1.86,3.99994459833795
111,41,11,4,33887,4.24,0.0,1.93,4.009381327334084
111,42,11,5,19243,3.19,0.0,1.2,3.9634775888717155
111,43,11,5,27773,3.19,0.0,1.2,3.9847045191193513
111,44,11,2,25910,3.89,0.0,1.69,3.9866118836915296
111,45,11,3,26151,3.99,0.0,1.75,4.014221668742217
111,46,11,3,21970,3.19,0.0,1.2,3.980429594272077
111,47,11,3,20290,3.66,0.67,1.53,4.02813612565445
111,48,11,3,28637,4.06,0.33,1.8,3.9896090534979423
112,1,1,20,26797,3.31,0.0,2.09,3.3002699896157837
112,2,1,22,25370,3.28,0.0,2.05,3.298813559322034
112,3,1,32,24801,3.33,0.0,2.1,3.3109497716894976
112,4,1,26,25529,3.28,0.0,2.05,3.309252925292529
112,5,1,23,25980,3.3,0.0,2.07,3.2986633663366334
112,6,1,20,26560,3.3,0.0,2.07,3.302160077145612
112,7,1,18,25739,3.32,0.0,2.09,3.303343253968254
112,8,1,18,25739,3.32,0.0,2.09,3.3023664122137406
112,9,1,21,28092,3.28,0.0,2.07,3.312913776015857
112,10,1,26,28223,2.97,0.0,2.07,3.2578578892371994
112,11,1,27,26542,3.22,0.0,2.11,3.288963636363636
112,12,1,24,27505,3.2,0.0,2.11,3.291080332409972
112,13,1,21,26604,3.17,0.0,2.09,3.282744916820702
112,14,1,30,29027,3.53,0.0,2.21,3.4578702892199824
112,15,1,26,27570,3.56,0.0,2.26,3.476327683615819
112,16,1,33,29072,3.56,0.0,2.26,3.5346627565982405
112,17,1,30,29339,3.56,0.0,2.29,3.5210000000000004
112,18,1,23,29115,3.55,0.0,2.27,3.525180360721443
112,19,1,18,29199,2.78,0.78,1.79,2.6740880056777856
112,20,1,24,28339,3.53,0.0,2.26,3.4768772241992885
112,21,1,30,32119,3.5,0.0,2.21,3.484980635166538
112,22,1,29,27930,3.52,0.0,2.23,3.5147818499127395
112,23,1,24,27717,3.54,0.0,2.23,3.5223090586145647
112,24,1,26,27840,3.55,0.0,2.26,3.5210335448776062
112,25,1,25,28529,3.52,0.0,2.24,3.518073476702509
112,26,1,23,28417,3.51,0.0,2.23,3.515421472937001
112,27,1,29,28099,3.49,0.0,2.21,3.5135004642525534
112,28,1,20,27518,3.58,0.0,2.31,3.520018018018018
112,29,1,25,28403,3.49,0.0,2.22,3.5173535156249995
112,30,1,21,29567,3.51,0.0,2.23,3.531764192139738
112,31,1,25,27015,3.54,0.0,2.28,3.522051030421982
112,32,1,27,27843,3.52,0.0,2.25,3.512054054054054
112,33,1,29,26814,3.53,0.0,2.27,3.5165417867435163
112,34,1,26,28022,3.55,0.0,2.29,3.509822852081488
112,35,1,26,26378,3.51,0.0,2.25,3.527127016129032
112,36,1,26,26378,3.51,0.0,2.25,3.547082379862701
112,37,1,20,27459,3.51,0.0,2.23,3.544694932781799
112,38,1,22,28194,3.48,0.82,2.23,2.6149016751638747
112,39,1,18,26246,3.53,0.0,2.27,3.525178389398573
112,40,1,15,25922,3.41,0.0,2.15,3.5297209821428575
112,41,1,16,33693,3.52,0.0,2.26,3.5298582816651907
112,42,1,15,24776,3.47,0.0,2.21,3.538008130081301
112,43,1,31,27091,3.51,0.0,2.25,3.5336190476190477
112,44,1,17,27043,3.45,0.0,2.19,3.5272986247544202
112,45,1,31,28348,3.46,0.0,2.19,3.536286549707602
112,46,1,29,27750,3.48,0.0,2.2,3.5445791855203623
112,47,1,29,27750,3.48,0.0,2.2,3.5380801335559267
112,48,1,26,24946,3.5,0.0,2.23,3.5412797074954296
112,1,2,56,26797,4.29,0.0,3.45,4.617389380530973
112,2,2,53,25370,4.35,0.47,3.49,4.516979865771812
112,3,2,36,24801,4.61,0.0,3.4,4.797210937499999
112,4,2,37,25529,4.59,0.0,3.43,4.815126582278481
112,5,2,33,25980,4.62,0.0,3.36,4.810066666666667
112,6,2,29,26560,4.58,0.0,3.43,4.804489329268293
112,7,2,42,25739,4.57,0.0,3.39,4.794414893617022
112,8,2,42,25739,4.57,0.0,3.39,4.810613445378151
112,9,2,28,28092,4.59,0.0,3.47,4.795897435897436
112,10,2,37,28223,4.54,0.0,3.42,4.809448022079117
112,11,2,45,26542,4.58,0.0,3.48,4.808741379310344
112,12,2,49,27505,4.58,0.0,3.55,4.790202101859337
112,13,2,41,26604,4.54,0.0,3.48,4.7841707317073165
112,14,2,44,29027,4.83,0.0,3.61,4.977569230769231
112,15,2,44,27570,4.79,0.0,3.73,5.004823788546255
112,16,2,53,29072,4.7,0.0,3.69,4.700041691483026
112,17,2,32,29339,4.66,0.53,3.81,4.734960784313725
112,18,2,36,29115,4.84,0.0,3.9,5.049522900763359
112,19,2,48,29199,4.89,0.0,3.75,5.058354066985646
112,20,2,38,28339,4.88,0.0,3.73,5.068676337262013
112,21,2,48,32119,4.77,0.0,3.71,5.057447956823439
112,22,2,39,27930,4.79,0.0,3.82,5.065112219451372
112,23,2,41,27717,4.74,0.0,3.78,5.062021189894051
112,24,2,30,27840,4.8,0.0,3.78,5.055238893545683
112,25,2,37,28529,4.81,0.0,3.77,5.072089041095889
112,26,2,29,28417,4.8,0.28,3.83,5.027714987714988
112,27,2,54,28099,4.79,0.0,3.91,5.009951884522855
112,28,2,52,27518,4.9,0.0,3.81,5.077606299212598
112,29,2,58,28403,4.9,0.0,3.79,5.1554474199869365
112,30,2,48,29567,4.44,0.31,3.84,4.501383610451306
112,31,2,50,27015,4.81,0.0,3.83,5.126469265367317
112,32,2,44,27843,4.84,0.0,3.78,5.1312642802741815
112,33,2,35,26814,4.89,0.0,3.65,5.12973602484472
112,34,2,39,28022,4.81,0.0,3.68,5.129446579554189
112,35,2,36,26378,4.82,0.0,3.64,5.129335088874259
112,36,2,36,26378,4.82,0.0,3.64,4.420564558285416
112,37,2,62,27459,3.94,0.42,3.58,4.424603854389722
112,38,2,35,28194,4.88,0.0,3.76,5.065834645669291
112,39,2,42,26246,4.9,0.0,3.79,5.019176923076923
112,40,2,41,25922,4.59,0.34,3.7,4.5360013175230565
112,41,2,58,33693,4.59,0.36,3.74,4.6713151364764265
112,42,2,41,24776,4.82,0.0,3.7,5.085289575289575
112,43,2,58,27091,4.79,0.0,3.71,5.06146884272997
112,44,2,49,27043,4.83,0.0,3.72,5.069040219378428
112,45,2,30,28348,4.77,0.0,3.72,5.066748251748251
112,46,2,35,27750,4.82,0.0,3.7,5.0687
112,47,2,35,27750,4.82,0.0,3.7,5.096094224924012
112,48,2,33,24946,4.79,0.0,3.67,5.074035433070866
112,1,3,21,26797,6.54,0.0,5.53,6.865878284923927
112,2,3,30,25370,6.74,0.0,5.76,6.885754614549404
112,3,3,38,24801,6.55,0.0,5.63,6.850276243093923
112,4,3,19,25529,6.43,0.0,5.57,6.857459105779718
112,5,3,20,25980,6.59,0.0,5.68,6.868676470588236
112,6,3,30,26560,6.67,0.0,5.49,6.8653558926487745
112,7,3,19,25739,6.89,0.0,5.64,6.840327044025156
112,8,3,19,25739,6.89,0.0,5.64,6.863641900121803
112,9,3,40,28092,6.82,0.0,5.61,6.897062937062938
112,10,3,50,28223,5.96,0.36,5.5,6.087003968253969
112,11,3,38,26542,5.97,0.76,5.53,6.125617529880477
112,12,3,26,27505,6.81,0.0,5.7,6.693725296442687
112,13,3,27,26604,6.49,0.0,5.4,6.720173347778982
112,14,3,29,29027,6.98,0.0,5.26,6.93732484076433
112,15,3,29,27570,7.05,0.0,5.29,6.926945107398567
112,16,3,23,29072,7.06,0.0,5.48,7.236487603305786
112,17,3,22,29339,7.01,0.0,5.5,7.270593939393939
112,18,3,33,29115,7.08,0.0,5.67,7.472809611829946
112,19,3,35,29199,6.47,0.51,5.77,6.519631379962194
112,20,3,27,28339,6.76,0.0,5.7,7.250380184331797
112,21,3,29,32119,6.88,0.0,5.66,7.259988851727982
112,22,3,27,27930,7.23,0.0,5.94,7.269844311377247
112,23,3,30,27717,6.96,0.0,5.78,7.223765586034912
112,24,3,21,27840,7.05,0.0,5.88,7.258231292517006
112,25,3,23,28529,7.21,0.0,5.82,7.299470108695652
112,26,3,34,28417,7.19,0.0,5.86,7.327541401273885
112,27,3,27,28099,6.95,0.0,5.78,7.260054719562244
112,28,3,28,27518,6.98,0.0,5.82,7.305453367875648
112,29,3,25,28403,6.99,0.0,5.82,7.280188405797102
112,30,3,29,29567,6.91,0.0,5.76,7.283497409326426
